Item	Question	Answer
lion	is he a carnivore or herbivore?	lion is carnivore, carnivore, carnivores, other animals, other wild animals
lion	is it a vertebrate or invertebrate?	lion is vertebrate, vertebrate, captivity, food availability, exploitation, cities
lion	has it ever been domesticated?	captivity, food availability, exploitation, cities
lion	is it a mammal?	captivity, lion is mammal, mammal, food availability, mammals, exploitation, cities
lion	does it have fur?	captivity, fur, food availability, exploitation, cities
lion	in which environments does he live?	other animals, other wild animals
lion	what does it eat?	captivity, hunting meat, food availability, distinguishable features, exploitation, cities
lion	how many legs does it have if any?	captivity, legs, food availability, exploitation, illegal hunting, cities, many places
lion	does he produce eggs?	other animals, other wild animals
lion	is he a prey or a predator?	predators, intelligent predators, other animals, larger prey, other wild animals
lion	does it have wings legs or fins?	captivity, legs, wings, fins, food availability, exploitation, illegal hunting, cities
lion	in what continents does he predominantly live?	other animals, other wild animals
lion	is he considered dangerous to humans?	humans, other animals, mane is one, many places, other wild animals
lion	is he eaten by humans?	hunting meat, humans, other animals, mane is one, distinguishable features, many places, other wild animals
lion	is the animal capable of jumping?	open woodlands, powerful jumps, other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	is he taller than humans on average?	humans, other animals, mane is one, many places, other wild animals
lion	does he live in groups?	groups, social called groups, other animals, other wild animals
lion	is it commonly kept as a pet?	captivity, pets, food availability, exploitation, pet, exotic pet trade, cities
lion	does it migrate long distances?	captivity, body length, long distances, food availability, exploitation, cities
lion	is it known for its intelligence?	captivity, food availability, exploitation, cities
lion	is it an endangered species?	captivity, food availability, exploitation, cities
lion	is it a nocturnal animal?	captivity, food availability, other animals, aquatic animals, arctic animals, exploitation, cities, wild animals, other wild animals
lion	does it hibernate?	captivity, food availability, exploitation, cities
lion	does it have sharp teeth?	captivity, food availability, sharp teeth, sharp claws, exploitation, cities
lion	does it have sharp claws?	captivity, food availability, sharp teeth, sharp claws, exploitation, cities
lion	is he a feline?	other animals, other wild animals
lion	is he an amphibian?	other animals, amphibians, other wild animals
lion	is he a reptile?	other animals, reptiles, other wild animals
lion	what is his most distinguishable feature?	distinguishable features
lion	does x have cold or warm blood?	warm blood, warmer climates
lion	does x hunt in a group?	hunting meat, groups, social called groups, illegal hunting
lion	how does x communicate with other similar?	other animals, other wild animals
lion	does x have scales?	scales
lion	is the animal aquatic?	other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	is this an arctic animal?	other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	is this animal exploited by humans?	humans, other animals, mane is one, distinguishable features, aquatic animals, arctic animals, exploitation, wild animals, many places, other wild animals
lion	does the animal live in cities?	other animals, aquatic animals, arctic animals, cities, wild animals, other wild animals
lion	does this animal fly?	other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	how fast is it?	captivity, food availability, exploitation, cities
lion	what are its dimensions?	
lion	does the animal have moist or scaly skin?	other animals, aquatic animals, arctic animals, skin, wild animals, other wild animals
lion	can the animal echolocate?	other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	can the animal metamorphose?	other animals, aquatic animals, arctic animals, wild animals, other wild animals
lion	can the animal be typically found in a circus?	other animals, aquatic animals, arctic animals, circuses, wild animals, other wild animals
tiger	is it a carnivore or herbivore?	carnivores, captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it a vertebrate or invertebrate?	vertebrates, captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	has it ever been domesticated?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it a mammal?	captivity, mammals, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	does it have fur?	captivity, fur, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	in which environments does it live?	captivity, environments, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	what does it eat?	captivity, meat, solitary animals, territory, habitat, habitat loss, coat is feature, recognizable feature, solitary hunters, exploitation, cities
tiger	how many legs does it have if any?	captivity, legs, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, illegal hunting, cities, many places
tiger	does it produce eggs?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it a prey or a predator?	captivity, predators, solitary animals, territory, intelligent predators, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	does it have wings legs or fins?	captivity, legs, wings, fins, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, illegal hunting, cities
tiger	in what continents does it predominantly live?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it considered dangerous to humans?	captivity, humans, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities, many places
tiger	is it eaten by humans?	captivity, meat, humans, solitary animals, territory, habitat, habitat loss, coat is feature, recognizable feature, solitary hunters, exploitation, cities, many places
tiger	is the animal capable of jumping?	powerful jumpers, solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	is it taller than humans on average?	captivity, humans, solitary animals, territory, habitat, habitat loss, crepuscular meaning, solitary hunters, exploitation, cities, many places
tiger	does it live in groups?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it commonly kept as a pet?	captivity, solitary animals, pets, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	does it migrate long distances?	captivity, solitary animals, long distances, territory, habitat, habitat loss, solitary hunters, exploitation, cities, body length
tiger	is it known for its intelligence?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it an endangered species?	captivity, solitary animals, territory, several species, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it a nocturnal animal?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, aquatic animals, arctic animals, exploitation, cities, wild animals, other wild animals
tiger	does it hibernate?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	does it have sharp teeth?	captivity, solitary animals, territory, habitat, habitat loss, sharp teeth, sharp claws, solitary hunters, exploitation, cities
tiger	does it have sharp claws?	captivity, solitary animals, territory, habitat, habitat loss, sharp teeth, sharp claws, solitary hunters, exploitation, cities
tiger	is it a feline?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	is it an amphibian?	captivity, solitary animals, territory, habitat, habitat loss, amphibians, solitary hunters, exploitation, cities
tiger	is it a reptile?	captivity, solitary animals, territory, habitat, habitat loss, reptiles, solitary hunters, exploitation, cities
tiger	what is its most distinguishable feature?	distinctive orange coat, coat is feature, recognizable feature
tiger	does it have cold or warm blood?	captivity, solitary animals, territory, habitat, habitat loss, black stripes, warm blood, solitary hunters, exploitation, cities
tiger	does it hunt in a group?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, illegal hunting, cities
tiger	how does it communicate with others of its kind?	captivity, variety, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities, other wild animals
tiger	does it have scales?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, scales, exploitation, cities
tiger	is the animal aquatic?	solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	is this an arctic animal?	solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	is this animal exploited by humans?	humans, solitary animals, coat is feature, recognizable feature, aquatic animals, arctic animals, exploitation, wild animals, many places, other wild animals
tiger	does the animal live in cities?	solitary animals, aquatic animals, arctic animals, cities, wild animals, other wild animals
tiger	does this animal fly?	solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	how fast is it?	captivity, solitary animals, territory, habitat, habitat loss, solitary hunters, exploitation, cities
tiger	what are its dimensions?	
tiger	does the animal have moist or scaly skin?	solitary animals, aquatic animals, arctic animals, skin, wild animals, other wild animals
tiger	can the animal echolocate?	solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	can the animal metamorphose?	solitary animals, aquatic animals, arctic animals, wild animals, other wild animals
tiger	can the animal be typically found in a circus?	solitary animals, aquatic animals, arctic animals, circuses, wild animals, other wild animals
elephant	is it a carnivore or herbivore?	herbivores, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, carnivore, carnivore teeth, cities, elephant habitats
elephant	is it a vertebrate or invertebrate?	vertebrates, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	has it ever been domesticated?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	is it a mammal?	mammals, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	does it have fur?	fur, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	in which environments does it live?	environments, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	what does it eat?	meat, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, distinguishable features, cities, elephant habitats
elephant	how many legs does it have if any?	legs, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats, many places
elephant	does it produce eggs?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	is it a prey or a predator?	predators, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	does it have wings legs or fins?	legs, wings, fins, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	in what continents does it predominantly live?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	is it considered dangerous to humans?	humans, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, humanelephant, humanelephant conflict, elephant habitats, many places
elephant	is it eaten by humans?	humans, meat, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, distinguishable features, cities, humanelephant, humanelephant conflict, elephant habitats, many places
elephant	is the animal capable of jumping?	jumping, jumping abilities, such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	is it taller than humans on average?	humans, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, humanelephant, humanelephant conflict, elephant habitats, many places
elephant	does it live in groups?	jumping abilities, social called led groups, captivity, problemsolving abilities, social complexity, habitat, groups, cities, elephant habitats
elephant	is it commonly kept as a pet?	jumping abilities, pets, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	does it migrate long distances?	jumping abilities, captivity, longdistance, longdistance migrations, problemsolving abilities, social complexity, habitat, long trunk, cities, elephant habitats, short distances
elephant	is it known for its intelligence?	jumping abilities, captivity, intelligent known animals, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	is it an endangered species?	jumping abilities, captivity, problemsolving abilities, social complexity, species, habitat, cities, elephant habitats
elephant	is it a nocturnal animal?	jumping abilities, such intelligent animals, captivity, intelligent known animals, problemsolving abilities, social complexity, habitat, arctic animals, cities, elephant habitats, other wild animals
elephant	does it hibernate?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	does it have sharp teeth?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, sharp claws, cities, elephant habitats
elephant	does it have sharp claws?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, sharp claws, cities, elephant habitats
elephant	is it a feline?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, felines, felines felines, cities, elephant habitats
elephant	is it an amphibian?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, amphibians, cities, elephant habitats
elephant	is it a reptile?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, reptiles, cities, elephant habitats
elephant	what is its most distinguishable feature?	distinguishable features
elephant	does it have cold or warm blood?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, warm blood, cities, elephant habitats
elephant	does it hunt in a group?	hunting, jumping abilities, social called led groups, captivity, problemsolving abilities, social complexity, habitat, groups, cities, elephant habitats
elephant	how does it communicate with others of its kind?	variety, jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats, other wild animals
elephant	does it have scales?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, scales, cities, elephant habitats
elephant	is the animal aquatic?	such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	is this an arctic animal?	such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	is this animal exploited by humans?	humans, such intelligent animals, intelligent known animals, distinguishable features, arctic animals, humanelephant, humanelephant conflict, many places, other wild animals
elephant	does the animal live in cities?	such intelligent animals, intelligent known animals, arctic animals, cities, other wild animals
elephant	does this animal fly?	such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	how fast is it?	jumping abilities, captivity, problemsolving abilities, social complexity, habitat, cities, elephant habitats
elephant	what are its dimensions?	
elephant	does the animal have moist or scaly skin?	such intelligent animals, intelligent known animals, arctic animals, wrinkled skin, other wild animals
elephant	can the animal echolocate?	such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	can the animal metamorphose?	such intelligent animals, intelligent known animals, arctic animals, other wild animals
elephant	can the animal be typically found in a circus?	such intelligent animals, intelligent known animals, arctic animals, circuses, other wild animals
giraffe	is it a carnivore or herbivore?	herbivores, fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	is it a vertebrate or invertebrate?	vertebrates, fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	has it ever been domesticated?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	is it a mammal?	mammals, fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	does it have fur?	fur, fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	in which environments does it live?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	what does it eat?	fruits, jumping abilities, traditional migrations, threats, distinguishable feature, feature is neck, habitat, habitat loss, exploitation, cities
giraffe	how many legs does it have if any?	fruits, legs, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities, many places
giraffe	does it produce eggs?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	is it a prey or a predator?	fruits, prey, predators, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	does it have wings legs or fins?	fruits, legs, wings, fins, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	in what continents does it predominantly live?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	is it considered dangerous to humans?	fruits, humans, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities, many places
giraffe	is it eaten by humans?	fruits, humans, jumping abilities, traditional migrations, threats, distinguishable feature, feature is neck, habitat, habitat loss, exploitation, cities, many places
giraffe	is the animal capable of jumping?	open woodlands, jumping, jumping abilities, tallest land animals, arctic animals, wild animals
giraffe	is it taller than humans on average?	fruits, tall trees, humans, jumping abilities, tallest land animals, traditional migrations, habitat, habitat loss, exploitation, cities, many places
giraffe	does it live in groups?	fruits, jumping abilities, loose social called groups, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	is it commonly kept as a pet?	fruits, jumping abilities, pets, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	does it migrate long distances?	fruits, jumping abilities, large distances, traditional migrations, long neck, habitat, habitat loss, exploitation, cities, body length
giraffe	is it known for its intelligence?	fruits, jumping abilities, traditional migrations, exceptional intelligence, habitat, habitat loss, exploitation, cities
giraffe	is it an endangered species?	fruits, jumping abilities, traditional migrations, species, habitat, habitat loss, exploitation, cities
giraffe	is it a nocturnal animal?	fruits, jumping abilities, tallest land animals, traditional migrations, arctic animals, habitat, habitat loss, exploitation, cities, wild animals
giraffe	does it hibernate?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	does it have sharp teeth?	fruits, jumping abilities, traditional migrations, sharp claws, habitat, habitat loss, exploitation, cities
giraffe	does it have sharp claws?	fruits, jumping abilities, traditional migrations, sharp claws, habitat, habitat loss, exploitation, cities
giraffe	is it a feline?	fruits, jumping abilities, traditional migrations, felines, habitat, habitat loss, exploitation, cities
giraffe	is it an amphibian?	fruits, jumping abilities, traditional migrations, amphibians, habitat, habitat loss, exploitation, cities
giraffe	is it a reptile?	fruits, jumping abilities, traditional migrations, reptiles, habitat, habitat loss, exploitation, cities
giraffe	what is its most distinguishable feature?	distinguishable feature, feature is neck
giraffe	does it have cold or warm blood?	fruits, jumping abilities, traditional migrations, warm blood, habitat, habitat loss, exploitation, cities
giraffe	does it hunt in a group?	fruits, jumping abilities, loose social called groups, traditional migrations, habitat, habitat loss, hunting, exploitation, cities
giraffe	how does it communicate with others of its kind?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	does it have scales?	fruits, jumping abilities, traditional migrations, scales, habitat, habitat loss, exploitation, cities
giraffe	is the animal aquatic?	tallest land animals, arctic animals, wild animals
giraffe	is this an arctic animal?	tallest land animals, arctic animals, wild animals
giraffe	is this animal exploited by humans?	humans, tallest land animals, distinguishable feature, feature is neck, arctic animals, exploitation, many places, wild animals
giraffe	does the animal live in cities?	tallest land animals, arctic animals, cities, wild animals
giraffe	does this animal fly?	tallest land animals, arctic animals, wild animals
giraffe	how fast is it?	fruits, jumping abilities, traditional migrations, habitat, habitat loss, exploitation, cities
giraffe	what are its dimensions?	
giraffe	does the animal have moist or scaly skin?	tallest land animals, arctic animals, skin, skin bones, dry skin, wild animals
giraffe	can the animal echolocate?	tallest land animals, arctic animals, wild animals
giraffe	can the animal metamorphose?	tallest land animals, arctic animals, wild animals
giraffe	can the animal be typically found in a circus?	tallest land animals, arctic animals, circuses, wild animals
zebra	is it a carnivore or herbivore?	herbivores, various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it a vertebrate or invertebrate?	vertebrates, various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	has it ever been domesticated?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it a mammal?	mammals, various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it have fur?	fur, various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	in which environments does it live?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	what does it eat?	various grassland habitats, meat, habitat, habitat loss, distinguishable feature, feature is coat, captivity, exhibition, exhibition purposes, cities
zebra	how many legs does it have if any?	various grassland habitats, legs, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it produce eggs?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it a prey or a predator?	various grassland habitats, prey, prey animals, predators, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it have wings legs or fins?	various grassland habitats, legs, wings, fins, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	in what continents does it predominantly live?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it considered dangerous to humans?	various grassland habitats, humans, adult humans, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it eaten by humans?	various grassland habitats, humans, meat, adult humans, habitat, habitat loss, distinguishable feature, feature is coat, captivity, exhibition, exhibition purposes, cities
zebra	is the animal capable of jumping?	prey animals, intelligent animals, arctic animals, wild animals
zebra	is it taller than humans on average?	various grassland habitats, humans, adult humans, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it live in groups?	various grassland habitats, called groups, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it commonly kept as a pet?	various grassland habitats, pets, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it migrate long distances?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it known for its intelligence?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	is it an endangered species?	various grassland habitats, different species, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities, species
zebra	is it a nocturnal animal?	various grassland habitats, prey animals, intelligent animals, habitat, habitat loss, arctic animals, captivity, exhibition, exhibition purposes, cities, wild animals
zebra	does it hibernate?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it have sharp teeth?	various grassland habitats, habitat, habitat loss, sharp claws, captivity, exhibition, exhibition purposes, cities
zebra	does it have sharp claws?	various grassland habitats, habitat, habitat loss, sharp claws, captivity, exhibition, exhibition purposes, cities
zebra	is it a feline?	various grassland habitats, habitat, habitat loss, felines, captivity, exhibition, exhibition purposes, cities
zebra	is it an amphibian?	various grassland habitats, habitat, habitat loss, amphibians, captivity, exhibition, exhibition purposes, cities
zebra	is it a reptile?	various grassland habitats, habitat, habitat loss, reptiles, captivity, exhibition, exhibition purposes, cities
zebra	what is its most distinguishable feature?	distinctive black stripes, distinguishable feature, feature is coat
zebra	does it have cold or warm blood?	distinctive black stripes, various grassland habitats, habitat, habitat loss, striped coat, warm blood, captivity, exhibition, exhibition purposes, cities
zebra	does it hunt in a group?	various grassland habitats, called groups, habitat, habitat loss, hunting, captivity, exhibition, exhibition purposes, cities
zebra	how does it communicate with others of its kind?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	does it have scales?	various grassland habitats, habitat, habitat loss, scales, captivity, exhibition, exhibition purposes, cities
zebra	is the animal aquatic?	prey animals, intelligent animals, arctic animals, wild animals
zebra	is this an arctic animal?	prey animals, intelligent animals, arctic animals, wild animals
zebra	is this animal exploited by humans?	prey animals, humans, adult humans, intelligent animals, distinguishable feature, feature is coat, arctic animals, wild animals
zebra	does the animal live in cities?	prey animals, intelligent animals, arctic animals, cities, wild animals
zebra	does this animal fly?	prey animals, intelligent animals, arctic animals, wild animals
zebra	how fast is it?	various grassland habitats, habitat, habitat loss, captivity, exhibition, exhibition purposes, cities
zebra	what are its dimensions?	
zebra	does the animal have moist or scaly skin?	prey animals, intelligent animals, arctic animals, skin, wild animals
zebra	can the animal echolocate?	prey animals, intelligent animals, arctic animals, wild animals
zebra	can the animal metamorphose?	prey animals, intelligent animals, arctic animals, wild animals
zebra	can the animal be typically found in a circus?	prey animals, intelligent animals, arctic animals, circuses, wild animals
cheetah	is it a carnivore or herbivore?	carnivores, captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it a vertebrate or invertebrate?	vertebrates, captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	has it ever been domesticated?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	is it a mammal?	captivity, mammals, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	does it have fur?	captivity, short fur, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	in which environments does it live?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
cheetah	what does it eat?	captivity, significant threat, great distances, large territories, same problemsolving abilities, distinguishable feature, feature is speed, threats, habitat, habitat loss, cities
cheetah	how many legs does it have if any?	captivity, legs, large territories, same problemsolving abilities, illegal wildlife trade, habitat, habitat loss, cities, many places
cheetah	does it produce eggs?	captivity, large territories, same problemsolving abilities, habitat, habitat loss, cities
